1,18-24,"63,16",12,0
2,18-24,"1,45",35,1
3,18-24,"98,84",116,1
4,18-24,"28,13",37,1
5,18-24,"6,95",8,1
6,18-24,"16,66",17,0
7,18-24,"27,11",32,0
8,18-24,"14,09",37,1
9,18-24,"12,29",6,1
10,18-24,"13,59",29,0
11,25-29,"54,84",27,1
12,25-29,"34,76",5,1
13,25-29,"115,74",109,1
14,25-29,"51,08",25,1
15,25-29,"30,78",13,0
16,25-29,"51,11",16,1
17,25-29,"31,53",25,1
18,25-29,"38,48",2,0
19,25-29,"73,90",58,1
20,25-29,"4,95",15,0
21,30-39,"39,71",25,1
22,30-39,"60,56",34,1
23,30-39,"24,10",4,1
24,30-39,"93,38",80,1
25,30-39,"23,11",2,0
26,30-39,"40,72",45,1
27,30-39,"19,43",20,0
28,30-39,"80,84",52,1
29,30-39,"24,86",35,1
30,30-39,"34,28",30,1
31,40-49,"40,47",14,0
32,40-49,"12,72",24,0
33,40-49,"16,72",13,0
34,40-49,"16,74",30,0
35,40-49,"28,36",31,0
36,40-49,"33,25",44,1
37,40-49,"17,52",23,0
38,40-49,"16,09",30,0
39,40-49,"18,46",34,0
40,40-49,"8,33",20,0
41,50-59,"92,88",48,1
42,50-59,"50,17",24,1
43,50-59,"55,88",64,1
44,50-59,"7,75",29,1
45,50-59,"8,72",16,0
46,50-59,"26,32",20,1
47,50-59,"20,83",9,1
48,50-59,"3,33",24,0
49,50-59,"91,60",80,1
50,50-59,"17,27",21,1
51,60+,"76,01",117,1
52,60+,"99,10",118,1
53,60+,"4,53",6,1
54,60+,"12,24",1,0
55,60+,"26,61",11,0
56,60+,"51,27",52,1
57,60+,"9,32",29,1
58,60+,"28,66",5,0
59,60+,"114,47",123,1
60,60+,"11,36",11,0
